Segment,Brand,Collection,commodity_code,commodity_group,secondary_salesrep_name,primary_fullname,cust_store_id,cust_id,cust_name,fabric_content,final_subbrand,first_season,Garment Type,style_status,style_id,Color,Color Type,style_description,alternate_style_description
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Jumper,Discontinued,64230,RBLK,Solid,Drop Waist Jumper w/Ribbon Bow,Drop Waist Jumper
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Jumper,Discontinued,64230,RKAK,Solid,Drop Waist Jumper w/Ribbon Bow,Drop Waist Jumper
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Jumper,Discontinued,64230,RNVY,Solid,Drop Waist Jumper w/Ribbon Bow,Drop Waist Jumper
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Pant,Discontinued,60362,RBLK,Solid,Real School Boys Flat Front Pant,Boys Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Pant,Discontinued,60362,RNVY,Solid,Real School Boys Flat Front Pant,Boys Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Pant,Discontinued,60363,RKAK,Solid,Real School Boys Husky Flat Front Pant,Boys Husky Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Pant,Discontinued,60364,RBLK,Solid,Men's Flat Front Pant,Men's Flat Front Pan
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Pant,Discontinued,61072,RBLK,Solid,Girls Low Rise Adj. Waist Pant,Girls Pant
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Scooter,Discontinued,65000,RBLK,Solid,Pleat Scooter with Ribbon Bow,Pleated Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Scooter,Discontinued,65000,RKAK,Solid,Pleat Scooter with Ribbon Bow,Pleated Scooter
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Twill,Real School,2020 January (Spring 2020),Scooter,Discontinued,65000,RNVY,Solid,Pleat Scooter with Ribbon Bow,Pleated Scooter
