Category,wm_week,WM Year,WM Weeks,WM Month,WM Month Nbr,upc, net unit sales,net retail sales
WM.com Exclusive,201901,2019,1,1 February,,71660586350,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660586351,3,24
WM.com Exclusive,201901,2019,1,1 February,,71660586353,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660586841,5,48
WM.com Exclusive,201901,2019,1,1 February,,71660590617,1,13
WM.com Exclusive,201901,2019,1,1 February,,71660590618,9,117
WM.com Exclusive,201901,2019,1,1 February,,71660591627,4,32
WM.com Exclusive,201901,2019,1,1 February,,71660591629,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660591630,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660591631,4,32
WM.com Exclusive,201901,2019,1,1 February,,71660591641,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660591642,2,16
WM.com Exclusive,201901,2019,1,1 February,,71660595012,1,12
WM.com Exclusive,201901,2019,1,1 February,,71660595015,2,23
WM.com Exclusive,201901,2019,1,1 February,,71660595019,2,23
WM.com Exclusive,201901,2019,1,1 February,,71660595028,1,12
WM.com Exclusive,201901,2019,1,1 February,,71660595064,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660595131,10,113
WM.com Exclusive,201901,2019,1,1 February,,71660595132,2,23
WM.com Exclusive,201901,2019,1,1 February,,71660597768,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660597769,2,50
WM.com Exclusive,201901,2019,1,1 February,,71660597770,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660597891,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660598834,2,50
WM.com Exclusive,201901,2019,1,1 February,,71660599274,0,0
Core Ess,201901,2019,1,1 February,,72484100002,-4,-34
Core Ess,201901,2019,1,1 February,,72484100005,1,9
Core Ess,201901,2019,1,1 February,,72484100006,5,43
Core Ess,201901,2019,1,1 February,,72484100008,5,43
Core Ess,201901,2019,1,1 February,,72484100009,6,51
Core Ess,201901,2019,1,1 February,,72484100010,1,9
Core Ess,201901,2019,1,1 February,,72484100012,8,68
Core Ess,201901,2019,1,1 February,,72484100014,0,0
Core Ess,201901,2019,1,1 February,,72484100023,9,76
Core Ess,201901,2019,1,1 February,,72484100026,29,244
Core Ess,201901,2019,1,1 February,,72484100027,28,236
Core Ess,201901,2019,1,1 February,,72484100028,7,59
Core Ess,201901,2019,1,1 February,,72484100032,37,315
Seasonal Solids,201901,2019,1,1 February,,72484100358,4,60
Seasonal Solids,201901,2019,1,1 February,,72484100360,6,90
Seasonal Solids,201901,2019,1,1 February,,72484100361,6,90
Seasonal Solids,201901,2019,1,1 February,,72484100364,1,19
Seasonal Solids,201901,2019,1,1 February,,72484100365,2,38
Seasonal Solids,201901,2019,1,1 February,,72484100369,9,170
Seasonal Solids,201901,2019,1,1 February,,72484100370,9,170
Seasonal Solids,201901,2019,1,1 February,,72484100375,4,75
Seasonal Solids,201901,2019,1,1 February,,72484100917,7,132
Seasonal Solids,201901,2019,1,1 February,,72484100918,9,170
Seasonal Solids,201901,2019,1,1 February,,72484100922,5,94
Seasonal Solids,201901,2019,1,1 February,,72484100925,3,57
Seasonal Solids,201901,2019,1,1 February,,72484104448,0,0
Seasonal Solids,201901,2019,1,1 February,,72484105218,1,19
Prints,201901,2019,1,1 February,,72484107454,1,16
Prints,201901,2019,1,1 February,,72484107455,2,32
WM.com Exclusive,201901,2019,1,1 February,,72484141405,2,45
WM.com Exclusive,201901,2019,1,1 February,,72484141414,1,22
WM.com Exclusive,201901,2019,1,1 February,,72484141849,5,112
WM.com Exclusive,201901,2019,1,1 February,,72484142010,2,45
Other,201901,2019,1,1 February,,72484142766,2,38
